family,sample_index,seed,policy,compilation_successful,ssim,coordinate_error,coordinate_points_compared,emitted_primitives,token_ged,graph_ged,token_overlap,predicted_family,is_line_segment_collapsed,total_length,length_to_eos,has_eos,unk_count,raw_unbalanced_parens,san_unbalanced_parens,tex_error
line_segment,27,42027,greedy,True,0.0498,0.3502,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,27,42027,beam_search,True,0.0498,0.3502,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,28,42028,greedy,True,0.7243,0.2547,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,28,42028,beam_search,False,0.0000,0.2665,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x128795440>
line_segment,29,42029,greedy,True,0.6130,0.4814,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,29,42029,beam_search,True,0.6130,0.4814,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,30,42030,greedy,False,0.0000,0.1846,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x12876eca0>
line_segment,30,42030,beam_search,True,0.4950,0.1891,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,31,42031,greedy,True,0.8000,0.6243,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,31,42031,beam_search,True,0.8000,0.6243,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,32,42032,greedy,False,0.0000,0.2494,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x355e4b650>
line_segment,32,42032,beam_search,True,0.7874,0.3221,2,draw,0.8696,1.0000,0.1200,line_segment,False,25,25,True,0,0,0,
line_segment,33,42033,greedy,True,0.5156,0.4945,2,draw,0.8636,1.0000,0.1250,line_segment,False,24,24,True,0,0,0,
line_segment,33,42033,beam_search,False,0.0000,0.4313,2,draw,0.8636,1.0000,0.1304,line_segment,False,24,24,True,0,0,0,cannot identify image file <_io.BytesIO object at 0x355e4b7e0>
line_segment,34,42034,greedy,True,0.3408,0.4071,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,34,42034,beam_search,True,0.3408,0.4071,2,draw,0.8636,1.0000,0.1364,line_segment,False,24,24,True,0,0,0,
line_segment,35,42035,greedy,True,0.7198,0.4385,2,draw,0.8696,1.0000,0.1154,line_segment,False,25,25,True,0,0,0,
